,Company,Location,Salary,Summary,Title,Job Category,City,State Code,ZIP,Area
126,Hackensack University Med Cntr,"Hackensack, NJ",Not available,"The Director of Clinical Analytics will be a hands on leader that assists the Vice President of Quality Measurement, the Director of Data Science and...","Director, Clinical Analytics",Analytics,Hackensack,NJ,,
127,JP Morgan Chase,"Jersey City, NJ 07310 (Downtown area)",Not available,"F3 is an enterprise-wide forecasting and analytical platform that aims to provide a one-stop shop for forecasting and analytics, with robust controls and...","Corporate - Forecasting & Capital Solutions, Business Analyt...",Other,Jersey City,NJ,07310,(Downtown area)
128,Summit Medical Group,"New Providence, NJ",Not available,Act as a consultant and subject matter expert within the organization and at meetings related to data analytics team....,Data Analytics & Reporting Specialist,Analytics,New Providence,NJ,,
129,"J.Crew Group, Inc.","New York, NY 10003 (Greenwich Village area)",Not available,"Purpose and Scope: To serve in a senior analytical role on the Sourcing Operations team, responsible for managing multiple processes related to savings...",Manager - Sourcing Analytics & KPIs,Analytics,New York,NY,10003,(Greenwich Village area)
130,CVS Health,"Woonsocket, RI",Not available,CVS Health is focused on driving multi-million dollar enterprise-wide growth and has developed a clearly defined strategy for the future. Leading the...,"Director, Strategy and Analytics",Analytics,Woonsocket,RI,,
131,Novartis,"East Hanover, NJ",Not available,"O Business Analytics. Statistics, analytics, mathematics) or in life science (e.g. Past work reflects a track record of operational excellence in Commercial...","Principal Consultant, Insights and Analytics (Director)",Analytics,East Hanover,NJ,,
132,Deloitte,"Boston, MA 02116 (South End area)",Not available,"Deloitte Consulting LLP seeks a Manager, Strategy & Analytics, Analytics & Cognitive in Boston, MA and various unanticipated Deloitte office locations and...","Manager, Strategy & Analytics, Analytics & Cognitive",Analytics,Boston,MA,02116,(South End area)
133,Neuberger Berman,"New York, NY 10004 (Financial District area)",Not available,"1-2 years’ demonstrable experience in reporting and analytics role; Help prepare materials for ad hoc projects, including developing focused analytics,...",Analyst- Global Business Analytics,Analytics,New York,NY,10004,(Financial District area)
134,Johnson & Johnson Family of Companies,"New Brunswick, NJ",Not available,"Johnson & Johnson Consumer Products Group, Inc. is recruiting for a 2019 Consumer Business Development Summer Analyst. Our purpose in Consumer is helping...",Consumer Business Development Summer Analyst - 2019,Business Analyst,New Brunswick,NJ,,
135,Citi,"Wilmington, DE 19894",Not available,"Previous experience in analytics and/or finance needed; Strong analytical background, ideally with experience in marketing analytics and/or segmentation....","SVP, Marketing Insights & Analytics",Analytics,Wilmington,DE,19894,
136,Teva Pharmaceutical Industries Ltd.,"Parsippany, NJ",Not available,"Uses quantitative analytics in support of tactical and strategic decision making. The Associate Director, Forecasting provides forecasts, analysis, and...","Associate Director, Forecasting",Management,Parsippany,NJ,,
137,Express Scripts,"Franklin Lakes, NJ 07417",Not available,Provide analytic support for rebate contact negotiations. The Financial Analyst works closely with the Manager– Financial Analysis to provide financial support...,Financial Analyst,Other,Franklin Lakes,NJ,07417,
138,Amneal Pharmaceuticals,"Bridgewater, NJ 08807",Not available,Pharmaceutical sales force analytics or data management. Deploy and administer dashboards that provide business and product level analytics....,"Associate Director, Forecasting, Analytics & IC",Analytics,Bridgewater,NJ,08807,
139,Google,"Mountain View, CA",Not available,"Experience in utilizing advanced analytics to drive complex operational and strategic initiatives, while interacting with multiple business leads or Product...","Analytics Lead, Google Play",Analytics,Mountain View,CA,,
140,Children's Healthcare of Atlanta,"Atlanta, GA 30341",Not available,Assist with analytic and evaluation efforts. Assist project team members in conducting quantitative analysis based on stated goals and preferences including...,Intern - Quantitative Analyst (Summer),Internship,Atlanta,GA,30341,
141,New York City TAXI & LIMOUSINE COMMISSION,"New York, NY","$60,403 - $80,000 a year","Experience using research and analytics to improve an operation is highly desirable. Under the direct supervision of the Deputy Commissioner for USB, the...","Director, USB Analytics and Strategy",Analytics,New York,NY,,
142,Uber,"Boston, MA 02114 (Back Bay-Beacon Hill area)",Not available,"High-growth analytics or operations experience. Experience working in a support environment (contact management analytics, Zendesk API familiarity, etc.)....",Analytics & Insights Data Analyst,Analytics,Boston,MA,02114,(Back Bay-Beacon Hill area)
143,Unilever,"Englewood Cliffs, NJ",Not available,"Owns the Supply Chain I&A Analytics and Data plan for the market (working with the country Analytics Manager), including landing of existing analytics products...",Business Analytics Manager (Supply Chain),Analytics,Englewood Cliffs,NJ,,
144,Tiffany & Co.,"New York, NY 10261 (Murray Hill area)",Not available,"The Senior Analyst will serve as a liaison between Category Reporting & Analytics, Financial Planning and Demand Planning to aggregate financial sales, margin...","Senior Analyst, Category Reporting & Analytics",Analytics,New York,NY,10261,(Murray Hill area)
145,Turbonomic,"Manhattan, NY",Not available,Work with the technical leadership to shape the technical direction of the Analytics module for consistent data modeling and enhanced analytics leveraging...,Director of Analytics,Analytics,Manhattan,NY,,
146,Ralph Lauren,"Lyndhurst, NJ 07071",Not available,Set foundational strategy for analytics and create a Data & Analytics Community of Excellence. Establish and oversee IT analytics to shape the analytics...,"Director, IT - Analytics",Analytics,Lyndhurst,NJ,07071,
147,Mondelez International,"East Hanover, NJ 07936",Not available,"The Global Insights Director, Brand Building is a key leadership role within our Strategy, Insights, and Analytics (SIA) function to lead the advancement of...","Global Insights Director, Brand Building",Management,East Hanover,NJ,07936,
148,Saint Joseph's University,"Philadelphia, PA 19131 (Wynnefield area)",Not available,"Developing management analytics; Provide monthly, quarterly and yearly financial analytics. Conduct reporting assessments with Dean and define specifications...","Senior Analyst, Business & Analytics",Analytics,Philadelphia,PA,19131,(Wynnefield area)
149,Becton Dickinson & Company,"Franklin Lakes, NJ 07417",Not available,"This role will be a key member of Business Analytics Technologies team driving dashboard development, data validation and usage adoption for all Business...","Analyst, Integrated Data and Reporting",Data Analyst,Franklin Lakes,NJ,07417,
150,Delta Air Lines,"New York, NY 10019 (Midtown area)",Not available,"The Project Management Co-Op position requires that a candidate must be currently pursuing a Bachelor's degree in Computer Science, Industrial Engineering,...",Project Management Spring 2019 Co-Op,Other,New York,NY,10019,(Midtown area)
151,Bayer,"Whippany, NJ",Not available,Join / prepare tables for analytics use; Assist in identifying potential new reports / analytics; Execute routine analytics and Ad-hoc reporting and...,Associate Director Data Specialist Specialty Franchise,Management,Whippany,NJ,,
152,McDonald's Corporate,"Chicago, IL",Not available,Provide significant thought leadership in the effort to drive customer analytics capabilities at McDonald’s....,"Director, Global Business Insights & Analytics",Analytics,Chicago,IL,,
153,Costco Wholesale,"Issaquah, WA 98027",Not available,"Proven success record providing analytics results for business decision-making. Degree or equivalent work experience in Data Science, Statistics, Analytics or...",Advanced Analytics Analyst #2680~,Analytics,Issaquah,WA,98027,
154,Comcast,"Philadelphia, PA 19103",Not available,"Senior Director, Strategic Analytics-EBIComcast Enterprise Business Intelligence (EBI) Strategic Analytics team is looking for an analytical leader who enjoys...","Sr. Director, Strategic Analytics",Analytics,Philadelphia,PA,19103,
155,Google,"Mountain View, CA",Not available,"As a People Analytics Manager, you will be People Operations' (POps) Reporting and Insights point of contact....","People Analytics Manager, Reporting and Insights",Analytics,Mountain View,CA,,
156,Cooper University Hospital,"Camden, NJ 08103",Not available,Partner with IT’s Business Intelligence Group to maximize Data Analytics Group reporting capability. Direction and oversight of analytics and reporting to...,DIR DATA ANALYTICS & REPORTING - Financial Planning & Analys...,Analytics,Camden,NJ,08103,
157,Aetna,"New York, NY 10016 (Gramercy area)",Not available,Sets priorities and executes strategy for the analytics organization. Directs the managers of multiple analytics teams focused on different topics....,Sr. Director Consumer Analytics,Analytics,New York,NY,10016,(Gramercy area)
158,UNC Health Care,"Chapel Hill, NC 27517",Not available,"Translates customer data questions and requirements into actionable analytic score cards, dashboards, reports in support of clinical, operational, and financial...",BUSINESS ANALYTICS SPECIALIST - UNC FACULTY PHYSICIANS OPERA...,Analytics,Chapel Hill,NC,27517,
159,Delta Air Lines,"Atlanta, GA",Not available,"The Analytics Specialist has technical knowledge of operations research optimization models, simulation models, and core data science/data engineering skillset....",Analytics Specialist- Decision Science,Analytics,Atlanta,GA,,
160,UNOPS,"New York, NY 10174 (Murray Hill area)",Not available,The incumbent will be responsible for the following duties: Assist in deve... Competencies Treats all individuals with respect; responds sensitively to...,Data Analytics Assistant,Analytics,New York,NY,10174,(Murray Hill area)
