,Company,Location,Salary,Summary,Title,Job Category
220,Apex Systems Inc,"Sumter, SC",Not available,Able to engage with cyber intelligence analyst counterparts across the DoD. Formal training as an intelligence analyst or officer – graduate of US Govt or...,Cyber Intelligence Analyst,Other
233,LOCKHEED MARTIN CORPORATION,"Aurora, CO 80011 (Norfolk Glen area)",Not available,Intelligence Analysis Tools. Train others as intelligence analysts. Previous experience conducting signals intelligence analysis....,intelligence analyst,Other
234,KePRO,"Nashville, TN",Not available,Health Intelligence Analyst. Translates business requirements into data driven reports/applications. Will be involved in other analytical projects that relate...,Analyst - Health Intelligence,Other
239,colsa global group,"Huntsville, AL",Not available,"Familiarity with the Intelligence Cycle and intelligence analysis standards and tradecraft. COLSA Global Corp, a subsidiary of COLSA Corporation, is seeking...",Open Source Intelligence Analyst (Malay),Other
240,Amazon.com,"Seattle, WA",Not available,Preparation of all-source intelligence products; Integrating incoming information with current intelligence and investigations;...,Threat Intelligence Analyst,Other
243,Secure Community Network,"Chicago, IL",Not available,"Experience drafting intelligence briefs, threat assessments, and other intelligence products. The Analyst will be expected to perform a variety of tasks,...",Intelligence Analyst,Other
246,Red Gate Group LTD,"Reston, VA 20191",Not available,Experience conducting targeted searches and analyses of intelligence databases to including but not limited to:....,Intelligence Analyst,Other
247,Blue Sky Innovators,Virginia,Not available,In STEM or related intelligence field. Manage Intelligence Community collection and production requirements for particular efforts in support of various program...,Intelligence Analyst,Other
248,Dyson,"Chicago, IL 60654 (Loop area)",Not available,The Competitor Intelligence Analyst will be a key part of the Global Competitor Strategy Team. The Competitor Intelligence Analyst should relish solving...,Competitor Intelligence Analyst,Other
250,BOEING,"Springfield, VA 22153",Not available,"The Boeing Company is seeking an Intelligence and Image Analyst for the enterprise Geo-Spatial Product Quality group located in Springfield, VA....",Intelligence and Image Analyst,Other
260,Salient CRGT,"Springfield, VA",Not available,Documented experience solving intelligence problems and filling intelligence gaps through collection of airborne and space-borne imagery within the last two (2)...,Intelligence Analyst 6886,Other
262,Workday,"Pleasanton, CA 94588",Not available,Workday is growing its Competitive Intelligence team and we are looking for a Competitive Intelligence Analyst to focus on Workday HCM....,Competitive Intelligence Analyst - HCM,Other
269,UPMC,"Pittsburgh, PA 15219 (Middle Hill area)",Not available,The UPMC Insurance Services Division Market Intelligence team is looking for a Market Intelligence Analyst to primarily support WorkPartners....,Market Intelligence Analyst,Other
270,Esri,"Redlands, CA",Not available,"Put your intelligence to work. Manage elements of, and execute on, a comprehensive competitive intelligence plan....",Competitive Intelligence Analyst,Other
274,Fidelis Cybersecurity,United States,Not available,The Threat Intelligence Analyst:. Validates known intelligence with data from additional sources. Operationalizes threat intelligence in formats applicable to...,Threat Intelligence Analyst,Other
276,QUICK SERVICES LLC,"Fayetteville, NC 28307",Not available,Knowledge of SOF and CT/counter proliferat ion intelligence experience is required. Intelligence Exploitation Analysts are responsible to support and engage in...,Expert- Intelligence Exploitation Analyst,Other
281,Aquent,"San Francisco, CA 94102 (Downtown area)",Not available,"In addition, you will partner closely with their Finance Planning & Analysis and Business Intelligence teams, making sure they are spending their media budget...",Marketing Analyst,Other
282,Ally Financial Inc.,"Charlotte, NC 28217 (Olde Whitehall area)",Not available,Experience with Business Intelligence reporting tools such as PowerPivot/Tableau. Business Unit/Enterprise Function....,Senior Risk Analyst,Other
283,McKesson,"Township of Moon, PA",Not available,"Minimum of 2+ years’ experience in a business intelligence, financial performance analysis, market analysis, sourcing/procurement and contract management....",VMO Analyst,Other
287,FEDDATA,"Fort Meade, MD",Not available,"Federal Data Systems is looking for a Junior Intelligence Analyst to work at Fort Meade. 3-4 years of military intelligence experience, or,....",Junior Intelligence Analyst,Other
289,Bloomberg,"New York, NY",Not available,"US Regional Banks Analyst. We analyze the unique attributes of each business, how it competes against other companies in its industry and how the business...",Bloomberg Intelligence: US Regional Banks Analyst,Other
291,Farm Credit Mid-America,"Louisville, KY",Not available,"MARKET & COMPETITIVE INTELLIGENCE EXPERTISE:. Research, analyze and develop intelligence on products, customers, competitors and market conditions delivering...",Risk Analyst - Competitive Intelligence,Other
293,Contrast Security,"Los Altos, CA",Not available,"Work experience in competitive intelligence, market intelligence, strategy, sales engineering, technical marketing, product marketing, or product management is...","Sr. Analyst, Competitive Intelligence",Other
300,Norse,"Foster City, CA",Not available,"All-Source Analyst, SIGINT Analyst, CI Agent, HUMINT Collector, or Imagery Analyst. In lieu of a schoolhouse trained analyst;...",Intelligence Analyst,Other
301,TechINT Solutions Group (TSG),"Reston, VA",Not available,Intelligence analysis experience is defined as hands-on experience conducting real-world intelligence operations....,JAST Intelligence Analyst,Other
314,Blue Cross Blue Shield of Michigan,"Detroit, MI",Not available,"Support the business through annual capital planning process, helping to create business cases that garner investment....",Strategic Intelligence Analyst,Other
315,Miami HEAT,"Miami, FL 33132 (Downtown area)",Not available,Advanced experience using and administrating a Business Intelligence visualization tool / server (Tableau or Power BI preferred)....,Basketball Analyst- Full Time,Other
316,George Mason University,"Fairfax, VA","$50,000 - $56,000 a year",HIDTA ISC Intelligence Analyst – NWVDGI. Training or coursework in intelligence analysis (preferred – Specific intelligence analyst training from law...,HIDTA Intelligence Analyst - NWVDGI,Other
317,Booz Allen Hamilton,"Wright-Patterson AFB, OH",Not available,All-Source Intelligence Analyst. Assist with the implementation of intelligence policies and procedures that impact the intelligence community (IC)....,All-Source Intelligence Analyst,Other
319,IT Works Recruitment,United States,Not available,IFS Supply Chain and Manufacturing Business Analyst. Our clients use high-tech software systems to facilitate all aspects of their business and identify as...,IFS BI Analyst,Other
320,Ball Aerospace,"Dayton, OH",Not available,Intelligence Analyst I – (664844). High School diploma or equivalent plus 3 or more years of intelligence analyst experience is required....,Intelligence Analyst I (664844),Other
327,General Dynamics Information Technology,"Vienna, VA",Not available,"As an Intelligence Analyst with the VSP SAO Unit, you will conduct daily visa applicant screening and vetting utilizing various databases, in order to...",Intelligence Analyst - Active Top Secret/SCI eligible,Other
328,National Security Agency,"Fort Meade, MD","$68,036 - $106,012 a year",Craft written assessments of foreign intelligence that provide unique insight into target intentions unavailable from other intelligence disciplines....,Intelligence Analyst - Mid/Experienced Level,Other
335,"Insight Enterprises, Inc.","Tempe, AZ 85283",Not available,"Business Intelligence Analyst. 3+ years’ experience in Business Intelligence. Today, every business is a technology business....",Bus Intelligence Analyst I,Other
